code,domain,degree,degree_centrality,betweenness,pct_cross_domain
T01,T,0,0.0,0.0,
T02,T,1,0.0169,0.0,1.0
T03,T,0,0.0,0.0,
T04,T,0,0.0,0.0,
T05,T,0,0.0,0.0,
T06,T,0,0.0,0.0,
T07,T,0,0.0,0.0,
T08,T,0,0.0,0.0,
T09,T,0,0.0,0.0,
T10,T,2,0.0339,0.0228,0.5
T11,T,1,0.0169,0.0,1.0
T12,T,3,0.0508,0.066,0.333
T13,T,1,0.0169,0.0,0.0
T14,T,0,0.0,0.0,
T15,T,0,0.0,0.0,
E01,E,0,0.0,0.0,
E02,E,0,0.0,0.0,
E03,E,1,0.0169,0.0,0.0
E04,E,0,0.0,0.0,
E05,E,1,0.0169,0.0,0.0
E06,E,1,0.0169,0.0,0.0
E07,E,5,0.0847,0.0713,0.6
E08,E,0,0.0,0.0,
E09,E,0,0.0,0.0,
E10,E,3,0.0508,0.024,0.0
E11,E,4,0.0678,0.0041,0.75
E12,E,3,0.0508,0.0245,0.333
E13,E,0,0.0,0.0,
E14,E,2,0.0339,0.0035,0.0
E15,E,6,0.1017,0.0432,0.5
S01,S,2,0.0339,0.0,0.0
S02,S,3,0.0508,0.0146,0.333
S03,S,3,0.0508,0.0076,0.0
S04,S,2,0.0339,0.0006,0.0
S05,S,1,0.0169,0.0,1.0
S06,S,5,0.0847,0.0058,0.8
S07,S,3,0.0508,0.0234,0.667
S08,S,0,0.0,0.0,
S09,S,12,0.2034,0.0842,0.417
S10,S,2,0.0339,0.0228,0.5
S11,S,5,0.0847,0.0088,0.8
S12,S,1,0.0169,0.0,0.0
S13,S,5,0.0847,0.0859,0.6
S14,S,8,0.1356,0.0608,0.5
S15,S,5,0.0847,0.0035,0.4
V01,V,2,0.0339,0.0105,0.0
V02,V,2,0.0339,0.0029,0.5
V03,V,6,0.1017,0.0193,0.333
V04,V,3,0.0508,0.0,0.0
V05,V,4,0.0678,0.0,0.0
V06,V,7,0.1186,0.0094,0.143
V07,V,13,0.2203,0.083,0.308
V08,V,8,0.1356,0.0444,0.25
V09,V,7,0.1186,0.0158,0.429
V10,V,9,0.1525,0.0725,0.556
V11,V,2,0.0339,0.0,0.5
V12,V,10,0.1695,0.0251,0.3
V13,V,6,0.1017,0.0421,0.167
V14,V,7,0.1186,0.0105,0.286
V15,V,7,0.1186,0.0544,0.286
