code,domain,mean,variance,degree
T01,T,3.637,0.967,0
T02,T,4.0,0.978,1
T03,T,4.011,0.716,0
T04,T,4.209,0.7,0
T05,T,4.187,0.82,0
T06,T,4.209,0.789,0
T07,T,4.209,1.078,0
T08,T,3.078,1.196,0
T09,T,3.278,0.922,0
T10,T,4.154,0.776,2
T11,T,4.157,0.77,1
T12,T,4.022,1.011,3
T13,T,3.978,0.818,1
T14,T,4.5,0.59,0
T15,T,4.167,0.612,0
E01,E,4.322,0.825,0
E02,E,2.839,1.253,0
E03,E,2.057,1.264,1
E04,E,3.437,1.365,0
E05,E,4.094,0.824,1
E06,E,3.872,0.913,1
E07,E,4.299,0.561,5
E08,E,4.259,0.646,0
E09,E,3.791,1.085,0
E10,E,4.529,0.485,3
E11,E,4.621,0.401,4
E12,E,3.931,1.065,3
E13,E,3.341,0.894,0
E14,E,4.529,0.485,2
E15,E,4.713,0.254,6
S01,S,4.279,0.815,2
S02,S,3.839,1.113,3
S03,S,4.264,0.755,3
S04,S,4.149,0.989,2
S05,S,4.632,0.352,1
S06,S,4.391,0.659,5
S07,S,4.43,0.624,3
S08,S,3.919,1.017,0
S09,S,4.471,0.347,12
S10,S,4.25,0.527,2
S11,S,4.552,0.366,5
S12,S,4.256,0.616,1
S13,S,4.264,0.522,5
S14,S,4.298,0.549,8
S15,S,4.244,0.751,5
V01,V,4.518,0.396,2
V02,V,4.435,0.534,2
V03,V,3.965,0.858,6
V04,V,4.384,0.522,3
V05,V,4.372,0.636,4
V06,V,4.512,0.349,7
V07,V,4.494,0.467,13
V08,V,4.294,0.543,8
V09,V,4.6,0.505,7
V10,V,4.035,0.749,9
V11,V,4.321,0.486,2
V12,V,4.119,0.853,10
V13,V,4.671,0.319,6
V14,V,4.553,0.417,7
V15,V,4.506,0.396,7
