code,domain,community,degree
T01,T,0,0
T02,T,16,1
T03,T,2,0
T04,T,3,0
T05,T,4,0
T06,T,5,0
T07,T,6,0
T08,T,7,0
T09,T,8,0
T10,T,9,2
T11,T,10,1
T12,T,9,3
T13,T,9,1
T14,T,12,0
T15,T,13,0
E01,E,14,0
E02,E,15,0
E03,E,16,1
E04,E,17,0
E05,E,18,1
E06,E,18,1
E07,E,16,5
E08,E,19,0
E09,E,20,0
E10,E,16,3
E11,E,23,4
E12,E,16,3
E13,E,22,0
E14,E,16,2
E15,E,16,6
S01,S,1,2
S02,S,1,3
S03,S,1,3
S04,S,1,2
S05,S,9,1
S06,S,10,5
S07,S,10,3
S08,S,11,0
S09,S,10,12
S10,S,21,2
S11,S,23,5
S12,S,21,1
S13,S,10,5
S14,S,10,8
S15,S,10,5
V01,V,16,2
V02,V,16,2
V03,V,10,6
V04,V,10,3
V05,V,23,4
V06,V,23,7
V07,V,23,13
V08,V,10,8
V09,V,23,7
V10,V,10,9
V11,V,23,2
V12,V,10,10
V13,V,23,6
V14,V,23,7
V15,V,23,7
