,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
T01,1.0,0.3678840265917699,-0.012956404026657119,-0.0031221036007848726,0.18602354203601357,-0.00047038512974297025,0.1864790969595652,0.17729723859070168,0.11151460919917573,-0.012906900654830408,-0.004793952000357205,-0.28056617145966867,-0.11367641536767559,-0.024168508902801974,-0.032467397147349523,0.0328287678778291,0.1792464281248411,0.0540628631577266,0.09635309965912132,0.03301582569798662,0.12419784117090552,-0.04762276045892006,0.23192312914818153,-0.04913851389621813,-0.12492183695030704,-0.014818008640866277,0.199475253020511,0.040685632853135,0.12496696229222355,-0.11820889035945403,-0.03407674449913764,-0.013224528444285441,-0.022729900120174045,-0.21587923842171308,-0.13819932262527715,-0.07270069726600495,0.05031917401473209,0.05521889395303613,-0.08884914593523471,0.005877920925057657,0.04995395316801443,0.08238532036276536,-0.11793744947110713,-0.10169869354166572,0.09895916148862778,-0.0064951281969006765,0.02585545582805628,-0.04927189754894867,0.010619477356993295,-0.12340395547892119,-0.03342351959001971,-0.027704153028576685,0.046979137517254174,-0.11814774645413559,-0.0188038442862681,0.004853178742996343,-0.16324976206939862,-0.1185322858152327,-0.04412323826205356,-0.06984957786404568
T02,0.3678840265917699,1.0,0.030232231688836084,0.21318301655910699,0.06811845965194833,0.23650038409547064,0.11092730238761526,0.12667284701839476,-0.09084471298804452,0.10714091684476823,0.067835737748118,-0.04183865673607665,0.09103676432957185,0.01593836685663105,0.06811000647425543,0.11202236806548131,-0.043674120358672464,-0.1636146731999971,0.12913485490019236,-0.18128102774439422,0.032807718768655965,0.12217874453043183,0.07373784736903197,0.03530895989096599,0.041396651120162685,0.08183038243086121,0.48239020589492604,-0.025656582798508385,0.28173003141408665,0.08825813433958268,0.14782807524751135,0.07623968235406678,0.12907788971046966,0.03154692495874244,-0.00280833825182149,0.056769384169902855,0.14947614668926007,0.16543730729647987,0.12282586901636895,-0.08181678500552292,-0.03745074786605778,0.1371772099842147,0.1387978851422576,0.1809906447317685,0.2676258501672505,0.059835781892104714,0.2483136405980474,0.15181202933701177,0.04684469615032757,0.00445745176147749,0.04119168420884001,0.025380331437333894,0.15552924635058904,-0.07332051552983998,0.1275882059880459,0.24382228334896086,0.08514430767425081,-0.028825540098028336,0.05858795268634236,-0.028467423261298027
T03,-0.012956404026657119,0.030232231688836084,1.0,0.03245502348083715,0.001438845347707123,0.13082224110219304,0.1225481776443759,-0.01603911594285747,0.1554202757393107,0.16181113642691128,0.1903887581412943,0.3875252401085992,0.1403250432321055,0.2833337649784995,0.20903194004474424,-0.1557096592334318,0.10167345964620694,-0.034179955803983364,-0.33296361123039614,0.03580590288148066,-0.0914376667449974,0.15070403482088224,0.08587319845582471,-0.01691872980496519,0.07985354733978983,0.3147776266862019,0.060605592279980594,-0.1413242665171996,0.15068845408967985,0.14224753741939908,0.03170846954419294,0.2461339455033351,-0.03586543419909175,0.09262511795156537,0.19259273514204875,0.09203574583514547,0.07950939755766978,0.1711751181587275,0.14729062908970667,0.09750793777344251,0.1482561118122607,0.2284162780854477,0.08277627770776928,0.10098578842470723,0.19507565714175032,-0.07059925828303097,0.28916577080177513,-0.060027283158501435,0.22672392193676338,0.07812313565152486,0.09358339922487217,0.18667670694149444,0.15127908743387064,0.3165034522208454,0.12274976475847038,0.0652083455398202,0.1272152378180015,0.11573799469247749,0.053907306751997536,0.22189172585907582
T04,-0.0031221036007848726,0.21318301655910699,0.03245502348083715,1.0,0.12360294977767051,0.16484603407113374,0.04230256292522572,0.1259291913386209,-0.062043707905269724,0.14922106804477003,-0.14093620813764388,0.07266908784960838,0.000723356726514454,0.16797721326846293,0.2894175596940893,0.06974695249339448,-0.045773894708763155,-0.06724771835078815,-0.13579102217396752,0.02977012272481883,0.10735658747880449,0.2364042083757752,0.008776070663041955,0.19958559169915147,0.24909409838476032,0.029460018132160377,0.28701266596551045,0.03203900034783846,0.3031740517416,0.12191700480115088,0.1355036777906764,0.11148568324070665,0.16964427445394314,0.01497694374443887,-0.034813845374543406,0.0010882451384059417,-0.011028423058764324,-0.15838592757485095,0.11557202313772734,0.09721357823411318,0.004522686323002849,0.15672147842183418,0.28757601352278267,0.16386181270753714,0.21468736742960523,0.07392922223630789,-0.056569161378982775,0.15958957632965515,-0.08291399991086686,-0.16853730620894228,-0.08146337767781073,-0.023557096869790465,0.10577133178158822,-0.03913098583194951,0.02738032200389235,0.043539588905786436,0.02063941889294999,-0.05760785201285939,0.022846401260878956,0.08230538570867706
T05,0.18602354203601357,0.06811845965194833,0.001438845347707123,0.12360294977767051,1.0,0.19829046427390845,0.20708862067907335,0.2401658724571252,0.07467064572657711,0.14762729725461718,0.17231451165687472,0.16045756503192685,-0.006185136773061564,0.14087501520833354,0.2822133207761039,0.022452887935112253,0.002320711091126451,-0.14154905006642668,0.06853360713425802,-0.10659060341195664,-0.11055930673106723,0.09874744089065007,-0.06879329250327527,-0.15939087703976393,0.2023914966025424,0.13714712428974246,0.14783386932225262,-0.035323821856720894,0.1768902110622669,0.11021798120792117,0.03344906608960249,-0.044254792117003144,0.11656827667727679,-0.013459407480523934,0.24743588843297434,0.19949157218068406,0.25825288740663216,-0.03322805594872976,0.09559325007753108,0.24028985773822176,0.3347194992213716,0.22648100036870603,0.22846835072482238,0.06951813264310666,0.23014318449143245,0.26774172573436145,0.14923219605064392,0.027507324283041187,0.11700843390029754,-0.01513089081513388,0.27402311282598024,0.048774799535422644,0.11824449054631357,0.04067554509787234,0.1564149466400466,0.2257361172400767,0.05147034508492116,0.06634839107775993,0.18865705576712938,0.15832617156216636
T06,-0.00047038512974297025,0.23650038409547064,0.13082224110219304,0.16484603407113374,0.19829046427390845,1.0,0.14379562862028142,0.014947582384489635,0.02039154737521142,0.025535919855469654,0.11729978951394122,0.2199251447705915,0.08790528337500725,0.030962348073062165,0.22041865671449598,0.27586876258107773,-0.10484890235460029,-0.2258339693064063,0.10849737962820283,-0.007772031059040732,0.21999466459662378,0.14252754439232682,0.13159045750405024,-0.04087726822209766,0.3034282230594168,0.20562556775930335,0.3835436230997992,-0.10948793462729432,0.35355172631971227,0.24676323227210542,0.005146094866012517,-0.010178875592704082,0.1016452360854064,0.18980434662927712,0.04971167204985747,0.11635600363823191,0.36605205479533015,-0.0919352061193087,0.0968713186555154,0.1836635696412877,0.01516265153532004,0.19892492592181027,0.28749908581195327,0.171527783488694,0.12472586023015382,0.01817884547958611,0.17607378828837603,0.21463742977776243,0.13963187074749653,0.24357550513731097,0.1988023590508381,0.16326417172273197,0.05702568132344502,0.18351526078011823,0.08226866152474911,0.1581192773788231,0.1304668980881726,0.0993169817698878,0.11453867696850303,0.38134237208664
T07,0.1864790969595652,0.11092730238761526,0.1225481776443759,0.04230256292522572,0.20708862067907335,0.14379562862028142,1.0,0.13858665188739736,0.24417175404573946,0.05543729314297443,0.2610324292609526,0.10487577682812023,0.005321194254705572,0.2611841882784186,0.012283270222809829,0.06852342259904573,0.09656755549824937,-0.07576349026845085,0.09412286506851496,0.05055152552097522,0.12695916478573874,0.05829731926641319,0.0924050331307515,-0.045913380241975395,-0.004201328180705573,0.14147752428264945,0.056629432856522104,-0.0003038889712421892,0.09782410644918428,0.09233698409829648,0.23129138694973736,0.16878078747643588,0.19757781774471467,0.10533004930634085,-0.020755579803403566,0.20356332550324865,0.29893445581574957,0.22501608760560513,0.2795434716310875,0.27749375268879434,0.0729237958057802,0.24059635211975347,0.22053812514611706,0.2560521219187826,0.2321528977609885,0.3658228282921394,0.28718139546223936,0.018851837084290463,0.21248823197106836,0.1733949029619496,0.07899744701940613,0.19587002887474897,0.2733186944750972,0.037064899030540485,0.2422838691307598,0.2877370001936484,0.16625225909010677,0.2852907111486456,0.30367803597783244,0.11667225695966865
T08,0.17729723859070168,0.12667284701839476,-0.01603911594285747,0.1259291913386209,0.2401658724571252,0.014947582384489635,0.13858665188739736,1.0,0.2940068547136717,0.06474276915040962,0.26423411716511014,0.09899989198769733,0.12099963350707273,0.10623539770755093,0.04498039935384656,-0.06426333351050326,0.17742959126461946,-0.01224092808933803,-0.1468048583212274,0.07861095637408116,0.17678383729417715,-0.03196658592715538,-0.20646258145328006,-0.04530165736256537,-0.09272974522998259,-0.08397124764227476,0.15343413119942861,0.2243946120036362,0.10972933459856411,-0.10417867829449634,0.03581859263074773,-0.009449666303982043,0.016716413741522305,0.02886739282814593,0.11580514779233941,-0.04388655942160855,0.10803645453222387,0.08737268419984022,0.0888693683365301,0.15297541067105805,-0.00790532486198642,0.1584794393040256,0.10841786485971429,-0.04890131910281085,0.05419596611595564,0.022952442011510792,-0.053733171835897854,-0.003881673660980445,0.030683905678161025,-0.0716225159834928,-0.03152952309268561,0.03562687899755621,0.06297481703207676,-0.10430510429604216,0.11392770546849297,0.21256403043288058,-0.027497248679147074,0.04207354906148321,0.01622023077405114,-0.05357488469951349
T09,0.11151460919917573,-0.09084471298804452,0.1554202757393107,-0.062043707905269724,0.07467064572657711,0.02039154737521142,0.24417175404573946,0.2940068547136717,1.0,-0.158623056197834,0.19643523491161624,-0.12782278045792572,-0.10302807526342202,0.027378727876579478,-0.029333416209807416,-0.04388168731335622,0.0169415988766453,-0.01574910228242955,0.11274820356795032,0.07729070174258067,0.14991447593969237,0.11750033174498989,-0.09855572395461239,-0.09220466791648253,-0.0009881805966736146,-0.059983400351974685,0.00775831635483656,0.11819759069137996,0.11941496192489351,0.10930004462692583,0.10610309842143056,0.18220516671675765,0.03210285593291856,-0.0237438733920098,-0.14916468793710297,-0.05474475334812262,0.05409284697444832,0.2512008957443711,0.10982006965048129,0.23879522808450543,0.15223400083490285,0.23262589335838962,0.05351145610301304,-0.054192370739295184,0.047907437874247,0.09997535329255346,0.0750252436511916,0.07833183428998465,0.012022763361432464,0.11094622830415417,-0.02543151777725381,0.17190296114445774,0.08202979008068044,-0.00731446206961154,-0.07476430408308728,0.19829096323585868,-0.012069277683345793,0.02589034505571265,0.1619701274633096,0.1933295284439732
T10,-0.012906900654830408,0.10714091684476823,0.16181113642691128,0.14922106804477003,0.14762729725461718,0.025535919855469654,0.05543729314297443,0.06474276915040962,-0.158623056197834,1.0,0.3289672904875614,0.44633003950968014,0.30152165566767697,0.2533792139154197,0.05841184123881246,-0.04499250747411717,-0.08878359885473561,-0.14619950601738269,-0.0921870352380981,0.164844336457981,-0.04114209332786034,0.1779302040982862,-0.037959850595063425,0.27615815730866394,0.12506400284311048,0.2748418995500572,0.12095496694309822,0.002758958722708657,0.08942156698144965,0.07042695641594189,0.20782975368782897,0.2267008494751811,0.2236207130038613,0.14986136527250143,0.5474598884899124,0.15870083476910404,0.07652780747025661,0.12928919641252706,0.14734366975580876,0.17971598522766655,0.0859952266176877,0.20698202205825286,0.13473035735220146,0.19920104678019174,0.18535627520182804,0.002610270231684892,0.1501811920961294,0.07676811985086003,0.1531768280393848,0.016007216310708228,0.09045418038208558,0.11338835759425833,0.11680352585657136,0.13071370812295585,0.20629436467103668,0.01321964713734261,0.13412479041662892,0.18926351955211845,0.02354593205817294,0.20439083260316482
